"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"SUSHIMAN","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," SUSHIMAN",2018-12-11 14:30:22
"PLANCHERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," c/exp., horario vespertino.",2018-12-11 14:30:22
"CUIDADORA","","Auxiliar","Salud","Hace 3 semanas "," para Residencial de la tercera edad.",2018-12-11 14:30:22
"AYUDANTE DE   CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," con experiencia, carne de salud vigente.",2018-12-11 14:30:22
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Para casa de repuestos de moto con experiencia y referencias",2018-12-11 14:30:22
"CONFIRTERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia para panadería.",2018-12-11 14:30:22
"DELIVERY","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," con moto, buena p recencia Para zonas, Pocitos,  Punta Carretas y Brazo Oriental",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Con libreta E para nocturno suplencia con o sin  experiencia",2018-12-11 14:30:22
"ATENCION DE MOSTRADOR","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Mostrador de panadería con experiencia",2018-12-11 14:30:22
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Mayor de 30 años",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Particular de radio patronal con experiencia y buenas referencias. fijos o suplencias de 6  a 14 y de 14 a 22 hrs",2018-12-11 14:30:22
"CADETE CON MOTO","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," c/moto y conocimientos de calles, buena presencia.",2018-12-11 14:30:22
"NEGOCIADOR GESTOR DE MOROSOS","Importante empresa","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas ","Cobrar Negociar Investigar Lograr objetivos Colectivos en individuales",2018-12-11 14:30:22
"LIMPIAVIDRIOS-LIMPIADORES","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Con  experiencia para Lagomar, Atlantida.  ",2018-12-11 14:30:22
"VENDEDOR PARA IMPORTANTE AUTOMOTORA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Vendedor Sólo con experiencia en ventas para automotora.",2018-12-11 14:30:22
"AYUDANTES","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," AYUDANTE de panadero adelanta do con experiencia y referencias",2018-12-11 14:30:22
"TECNICO EN REPARACION","","Asistente","Tecnologías de la información","Hace 3 semanas "," De impresoras/ multifunción con libreta de conducir, full time.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Instructor para academia de conductores del dpto de Canelones para varias zonas  Excluyente tener licencia con 5 años de antiguedad",2018-12-11 14:30:22
"COCINERO/PLANCHERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," para local gastronomico,  disp. horaria y con experiencia.",2018-12-11 14:30:22
"PEON","","Oficial","Servicios - Oficios","Hace 3 semanas "," MEDIO oficial y peon practico elect ricista para obra",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER para zona EL Pinar cn libreta profesional de lunes  a viernes de 8 a 17 horas.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para uber para 2 turnos, libreta E., empresa (DGI-BPS) Con experiencia y referencias.",2018-12-11 14:30:22
"MUCHACHO CON LIBRETA PARA MANTENIMIENTO AUTOMOTORA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," MUCHACHO con libreta de chofer para tareas de mantenimiento en automotora Enviar mail a",2018-12-11 14:30:22
"TECNICO EN REFRIGERACION","ATE","Técnico / Especialista","Producción","Hace 3 semanas ","REPARACION DE REFRIGERADORES EN DOMICILIO Y TALLER. ENVIAR CV CON ASPIRACIONES SALARIALES REPARAR ELECTRODOMESTICOS",2018-12-11 14:30:22
"ADMINISTRATIVA CALIFICADA","Empresa logística","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Nos orientamos a la búsqueda de una administrativa calificada, proactiva y con motivación a afrontar tareas varias, con experiencia comprobada en liquidaci ...",2018-12-11 14:30:22
"ADMINISTRATIVO GASTOS COMUNES","Inmobiliaria","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Atención Telefónica Tramites  Liquidación de Gastos Comunes Reuniones de Consorcio Atención y buen servicio a los consorcios.",2018-12-11 14:30:22
"PANADERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Con experiencia y referencias.",2018-12-11 14:30:22
"AYUDANTE DE CONFITERO/PANADERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Ayudante de confitero/panadero",2018-12-11 14:30:22
"COLORISTA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Que sepa corte y brushing y maquillaje, con experiencia y flexibilidad en el horario.",2018-12-11 14:30:22
"BARBERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Excelente presencia y con experiencia para barberia en Ciudad de la Costa. Adjuntar C.V con foto.",2018-12-11 14:30:22
"ASISTENTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Experiencia: 2 años. full time.  Disponibilidad horaria.  Adjuntar C.V con foto.",2018-12-11 14:30:22
"REFERENTE DE TURNO","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","Masculino, preferentemente retirado militar con buena presencia, ágil, disponibilidad horaria y ganas de trabajar, para cumplir tareas de Referente de Turn ...",2018-12-11 14:30:22
"ADMINISTRATIVO","Los Dominguez","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Administrativas, ingreso de facturas, control de stock, planillas diarias, Documentación en general. Lleva las tareas asignadas al día.",2018-12-11 14:30:22
"ATENCION AL MOSTRADOR PARA ROTISERIA","Rotiseria","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Atencion al publico  Orden y limpieza Cumplir tareas asignadas  Llegar en hora",2018-12-11 14:30:22
"VENDEDOR WEB","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," publicacion de productos y ventas,  freelancer y precencial.",2018-12-11 14:30:22
"CONDUCTOR PROFESIONAL CON VEHÍCULO EMPADRONADO","CORMAR Traslados Corporativos","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Empresa regional se encuentra en la búsqueda de Conductores Profesionales con vehículo propio, para la prestación de servicios de Remise Empresarial, tanto ...",2018-12-11 14:30:22
"JEFE DEPARTAMENTO TÉCNICO","Alir ","Profesional","Producción","Hace 3 semanas ","- Coordinación y planificación de Tareas. - Control de tareas en los diferentes procesos. -  Realización de informes técnicos. - Manejo de planos autocad.  ...",2018-12-11 14:30:22
"PINTRO PREPARADOR","","Oficial","Servicios - Oficios","Hace 3 semanas "," Con oficio MG taller selecciona Con buena presencia Zona Costa Urbana Shopping.",2018-12-11 14:30:22
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Pre-venta con lic. para moto, experiencia, conocimiento, mayorista selecciona. Ofrecemos moto.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Taxi 141 libreta categoria E con referencias titulares y suplentes  trato con el dueño",2018-12-11 14:30:22
"BRUSHINISTAS","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  con mucha experiencia en peinados y maquillaje.  horario de 16 a 22 hs fines de semana ",2018-12-11 14:30:22
"CHOFER PARA TAXI","","Medio Oficial","Producción","Hace 3 semanas ","Preferentemente viva en Buceo o con locomoción CHOFER para Taxi experiencia en taxi remis o similar. ",2018-12-11 14:30:22
"MAQUINISTA","","Oficial","Producción","Hace 3 semanas "," con experiencia",2018-12-11 14:30:22
"LIMPIADORES - LIMPIADORAS","","Auxiliar","Servicios - Oficios","Hace 3 semanas ","  Experiencia.  Referencia.  Buena presencia.  Certificado de buena conducta.  Resida en Montevideo  Al postularse adjuntar CV.",2018-12-11 14:30:22
"CADETE","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," para Supermercado.",2018-12-11 14:30:22
"AMA DE CASA Y NIÑERA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Para zona del Prado De lunes a viernes 6 horas por día",2018-12-11 14:30:22
"MODELO","","Otros","Marketing - Publicidad","Hace 3 semanas "," MODELOS comerciales TV bebés niños adultos pago U$S. Productorade modelos pubicitarios",2018-12-11 14:30:22
"ACOMPAÑANTES","","Auxiliar","Salud","Hace 3 semanas "," ACOMPAÑANTES (10) Sexo femenino ( Excluyente), para Sanatorio. Amplia disponibilidad horaria, con experiencia excelente presencia y vocación de  servicio ...",2018-12-11 14:30:22
"VENDEDORAS","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Panaderia, pasteleria Dirigido solo estudiantes de 18 a 22 años 5 horas de trabajo Horario de 16:00 a 21:00 horas Libre jueves",2018-12-11 14:30:22
"RECEPCIONISTA","MAZARS","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Seleccionamos para reconocida empresa internacional, Recepcionista.  La función del cargo consiste en recepcionar las personas que llegan a la empresa, rea ...",2018-12-11 14:30:22
"ENCARGADO DE RESATURANT","Importante empresa en Colonia","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","Encargado de personal  Encargado de funcionamiento  Manejo de efectivo Puesto vacante para llevar la organización de Restaurant, y administracion !! Dispon ...",2018-12-11 14:30:22
"VENDEDOR BIJOUTERIE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Nos encontramos en la búsqueda de una persona responsable, con ganas de trabajar y experiencia en el rubro ventas, especialmente en el área bijou. Horario  ...",2018-12-11 14:30:22
"CHOFER DE TAXI","","Peon","Servicios - Oficios","Hace 3 semanas "," Libreta cat. E de Mvdeo.  Experiencia en manejo para ambos turnos.  Mayor 35 años Viva en Mvdeo.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para taxi, ambos turnos, solo con experiencia ( no excluyente en taxi) y referencias",2018-12-11 14:30:22
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia",2018-12-11 14:30:22
"CONFITERIA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para taxi libreta cat. E, con o sin experiencia en taxi",2018-12-11 14:30:22
"PELUQUERA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," PELUQUERA con experiencia y referencias, part time, para zona de 3 cruces.",2018-12-11 14:30:22
"CUIDADOR","","Auxiliar","Salud","Hace 3 semanas "," CUIDADOR. Persona para atención, cuidado y aseo para persona con discapacidad psicomotriz y tareas vinculadas en casa de familia. Persona de buen trato, r ...",2018-12-11 14:30:22
"RECEPCIONISTA - CAJERO -","","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Varias, como por ejemplo, 1) Disposición con el cliente:  Ser atento y cordial con los huéspedes, tener iniciativa para responder inquietudes que le puedan ...",2018-12-11 14:30:22
"MASAJISTA","","Técnico / Especialista","Salud","Hace 3 semanas "," Que sepa aparatologia estética, para centro estético en Pocitos.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER remises y minibus, con Inglés,",2018-12-11 14:30:22
"PREPARADOR/ CONTROLADOR","","Auxiliar","Logística - Distribución","Hace 3 semanas "," De pedidos para importador del rubro ferreteria/ bazar.  Entre 25 y 35 años.  Se valorará experiencia en el rubro.  ",2018-12-11 14:30:22
"AUXILIAR DE DEPOSITO","","Auxiliar","Logística - Distribución","Hace 3 semanas "," AUXILIAR DE DEPOSITO",2018-12-11 14:30:22
"GUARDIAS DE SEGURIDAD ARMADOS","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","Importante empresa de seguridad selecciona: GUARDIAS DE SEGURIDAD ARMADOS (ÚNICAMENTE HOMBRES) que residan en la ciudad de Montevideo y Las Piedras. Se of ...",2018-12-11 14:30:22
"DELIVERY CON MOTO","Cadeteria JAIRO","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","Se necesita delivery con moto en buen estado, buena presencia, conocimiento de calles, Para Zona Buceo, Blanqueada, Malvin, turno noche. Indispensable cump ...",2018-12-11 14:30:22
"MOZA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," para pizzeria en el Prado.",2018-12-11 14:30:22
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," para pizzeria en el Prado  al postularse adjuntar foto ",2018-12-11 14:30:22
"OFICIAL PINTOR","","Oficial","Servicios - Oficios","Hace 2 semanas "," OFICIAL pintor automotriz finalista con experiencia y referencias.",2018-12-11 14:30:22
"VENTAS, ADMINISTRACION Y EXPEDICION EN LOCAL COMERCIAL DE PUNTA DEL ESTE","Importante empresa","Auxiliar","Ventas - Comercial","Hace 2 semanas ","Atencion a clientes de forma telefonica y presencial Asesoraramiento sobre los productos ofrecidos Cierre de ventas , cobranza Despacho de mercaderia Puntu ...",2018-12-11 14:30:22
"ESCRIBANO","","Profesional","Legal","Hace 2 semanas "," para automotora part time",2018-12-11 14:30:22
"VIGILANTES - ZONA CENTRO, MONTEVIDEO.","LINCE SRL","Auxiliar","Seguridad - Vigilancia","Hace 2 semanas ","LINCE S.R.L - Empresa de Seguridad y Vigilancia - selecciona: VIGILANTES SIN ARMA para diferentes puestos en zona Centro-Montevideo. Requisitos: Tener ent ...",2018-12-11 14:30:22
"PINTOR PREPARADOR AUTOS","","Oficial","Servicios - Oficios","Hace 2 semanas ","INICIAR Y TERMINAR EL PROCESO DE PREPARACION DE UN VEHICULO PARA SU PINTURA MEDIA,ALTA",2018-12-11 14:30:22
"TAROTISTA, VIDENTE","","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas "," Para trabajar en empresa española de Tarot. Con buenos conocimientos esotericos. Se necesita telefono fijo y seriedad. Muchas llamadas.",2018-12-11 14:30:22
"TECNICO COMERCIAL","Mecalux Uruguay","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Mecalux Uruguay estamos buscando asesor con marcado perfil comercial, fuerte orientación a objetivos, buen nivel de comunicación y facilidad de aprendizaje ...",2018-12-11 14:30:22
"VETERINARIO","","Profesional","Agroindustria","Hace 2 semanas "," O Estudiante avanado para clinica",2018-12-11 14:30:22
"CAJERA PARA HORARIO DE 15:00 A 23:00 HRS.","","Auxiliar","Ventas - Comercial","Hace 2 semanas "," CAJERA para cubrir horario de 15:00 a 23:00 hrs. Mayor de 24 años. Enviar C.V con FOTO",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," Repartidor con referencias ",2018-12-11 14:30:22
"PISTERO PARA ESTACION DE SERVICIO","","Auxiliar","Atención al cliente","Hace 2 semanas "," PISTERO para Estación de Servicio. Enviar CV con foto a:",2018-12-11 14:30:22
"AUXILIAR DE DEPOSITO","","Auxiliar","Logística - Distribución","Hace 2 semanas "," AUXILIAR de deposito para empresa automotriz con conocimiento de c omputacion y libreta de conducir de  lunes a viernes de 8 a 18 hrs",2018-12-11 14:30:22
"DOCENTE DE FRANCÉS","C&B INSTITUTE","Profesional","Educación - Recreación - Deportes","Hace 2 semanas ","Dictar clases de frances Dictar clases de frances",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," CHOFER libreta categoria B para reparto de almacen por mayor.",2018-12-11 14:30:22
"ENCARGADA","","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas "," Para Residencial de 3° edad con buena presencia  Entre 25 y 55 años Con experiencia y referencias comprobables Al postularse adjuntar foto",2018-12-11 14:30:22
"BACHERO/A","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," entre 18 a 35 años. Para trabajar de Lunes a Viernes de 9 a 18 hs $25.000.",2018-12-11 14:30:22
"VENDEDORA PARA LOCAL EN SHOPPING","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Marca líder en el sector de ropa interior selecciona vendedora para trabajar en local en Shopping Tres Cruces. Buscamos personas con marcado perfil comerci ...",2018-12-11 14:30:22
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Venta y atención al público. Se valorará conocimientos de inglés y portugués. Inherentes al cargo.",2018-12-11 14:30:22
"T","","Auxiliar","Producción","Hace 2 semanas "," TECNICO electromecanico, con experiencia y referencias.",2018-12-11 14:30:22
"IDONEA/O EN FARMACIA","","Técnico / Especialista","Salud","Hace 2 semanas "," en Ciudad de la Costa.",2018-12-11 14:30:22
"IDONEA/O PARA FARMACIA","","Técnico / Especialista","Salud","Hace 2 semanas "," en Hipodromo",2018-12-11 14:30:22
"CAJERAS/OS","","Auxiliar","Ventas - Comercial","Hace 2 semanas "," Para supermercado. Enviar C.V con foto y Referencia Caja.",2018-12-11 14:30:22
"CHOFER DE TAXI","SIN NOMBRE","Peon","Servicios - Oficios","Hace 2 semanas ","CHOFER DE TAXI. 1 PUESTO PARA TURNO DIURNO DE 3 A 15 HS Y 1 PUESTO PARA TURNO NOCTURNO DE 15 A 3 HS. RELEVO PUERTA A PUERTA. LIBRETA CAT. E. CHOFER DE TAXI ...",2018-12-11 14:30:22
"SEÑORA PARA CUIDADO DE DOS NIÑOS Y TAREAS VARIAS","","Auxiliar","Servicios - Oficios","Hace 2 semanas "," SEÑORA para cuidado de dos niños y tareas varias, excluyente residir en zona Costa de Oro. Enviar CV ",2018-12-11 14:30:22
"CHOFER","S & U  Consultores","Peon","Servicios - Oficios","Hace 2 semanas ","CHOFER PROFESIONAL  para empresa de servicios. Edad 25 a 45 años. Buena presencia. Libreta categoría ""E"" emitida por la Intendencia de Montevideo (requisit ...",2018-12-11 14:30:22
"LUSTRADOR","","Oficial","Servicios - Oficios","Hace 2 semanas "," Para carpintería laqueados PU y lustres. con experiencia.",2018-12-11 14:30:22
"OFICIAL MEDIO OFICIAL","","Medio Oficial","Producción","Hace 2 semanas "," OFICIAL y medio oficial carpintero en aluminio",2018-12-11 14:30:22
"OFICIAL CARPINTERO","","Oficial","Producción","Hace 2 semanas "," Para obra blanca con referencias.",2018-12-11 14:30:22
"REPARTIDOR","","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","  que viva en la zona de Progreso o Las piedras, con experiencia en reparto en Montevideo,  conocimientos de calles y libreta profesional.",2018-12-11 14:30:22
"ENCARGADO","","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," ENCARGADO con experiencia y referencias,",2018-12-11 14:30:22
"OPERARIO","","Peon","Producción","Hace 2 semanas "," Torneria mecanica necesita operario con experiencia para trabajos variados con practica en torno  fresadora banco y ajuste",2018-12-11 14:30:22
"CORTADOR","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Con conocimiento de parrilla",2018-12-11 14:30:22
"OPERADOR COMERCIAL","","Técnico / Especialista","Marketing - Publicidad","Hace 2 semanas "," Importante empresa de plaza selecciona: operador comercial con conocimientos de diseño gráfico y marketing, requisitos estudios de nivel terciarios ingles ...",2018-12-11 14:30:22
"VENDEDORA","Helados artesanales la chicharra","Auxiliar","Atención al cliente","Hace 2 semanas ","Atención al público al mostrador y realizar tareas en la Plata de producción Ser puntal en el horario , responsable , dinámica y con ganas de trabajar",2018-12-11 14:30:22
"CHOFER PARA TAXI","","Peon","Servicios - Oficios","Hace 2 semanas "," Montevideo, libreta E, ambos sexos, con o sin experiencia.",2018-12-11 14:30:22
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," OCINERA/O con experiencia  en salones de fiestas, trabajo eventual para viernes y sábados de 17 a 1 o 18 a 02,",2018-12-11 14:30:22
"AUXILIAR CONTABLE","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas "," Por suplencia maternal Registros contables, manejo de caja diaria, y atención al público. ",2018-12-11 14:30:22
"GRUISTA","Serinco Uruguay","Peon","Logística - Distribución","Hace 2 semanas ","Se busca personal capacitado y con experiencia en manejo de Grúas y maquinaría automotriz tales como Manitou, interesados enviar curriculum con referencias ...",2018-12-11 14:30:22
"COCINERA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Con experiencia que sepa desempeñarse en cocina, responsable, para panadería.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," Efectivo ambos turnos., libreta E Montevideo, taxi 141, relevo puerta a puerta.",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," chofer",2018-12-11 14:30:22
"PELUQUERO/A","","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","  de 18 a 25 años, con experiencia en corte y barba,",2018-12-11 14:30:22
"AUXILIAR PARA DEPOSITO CON TAREAS DE MANTENIMIENTO","Importante empresa","Auxiliar","Logística - Distribución","Hace 2 semanas ","Tareas relacionadas a logística de la empresa y tareas de mantenimiento Recibir y controlar mercadería de proveedores Preparar pedidos Ordenar el depósito  ...",2018-12-11 14:30:22
"MOZO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Hotel de cadena internacional, solicita mozo para bar y Restaurante . Funciones: Atender y servir al cliente en el bar y en el restaurante, de manera satis ...",2018-12-11 14:30:22
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Hotel de 3 estrellas de cadena Internacional, solicita ayudante de cocina de 8hs.  •	Lavar y arreglar la vajilla de la cocina según las normas de higiene. ...",2018-12-11 14:30:22
"SANDWICHERO/A","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Con experiencia.",2018-12-11 14:30:22
"ABOGADO","","Profesional","Legal","Hace 2 semanas "," ABOGADO",2018-12-11 14:30:22
"ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 2 semanas "," Edad 25 a 45 años, con formacion en administracion, dominio de office, resida en Montevideo . lunes a viernes 6 horas sabado 4 horas.",2018-12-11 14:30:22
"COORDINADOR","","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas "," Para Equipo de Ventas en vía pública.  Se requiere, secundaria completa, operador PC, experiencia en ventas y vehículo.",2018-12-11 14:30:22
"ADMINISTRACIÓN","Metro Seguridad","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Auxiliar administrativo para atención telefónica, gestión de cobranzas, planillas de excel, facturación entre otras tareas. La persona seleccionada será en ...",2018-12-11 14:30:22
"CHOFER DE TAXI","","Peon","Servicios - Oficios","Hace 2 semanas ","tiene minimo 2 años en el gremio e impecables antecedentes en Radio y FAR y quiere trabajar solo en buen coche si Ud. es muy trabajador y buen recaudador,  ...",2018-12-11 14:30:22
"VENDEDORAS","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," a consignación sin inversión. importación directa.  Ropa colección 2018 / 2019, dama, hombre y niño.",2018-12-11 14:30:22
"ENCARGADO DE TALLER","","Supervisor / Encargado","Producción","Hace 2 semanas "," Chapa y pintura de alta gama con conocimiento administrativo, tasaciones de siniestro y manejo de personal Experiencia 4 años Excelente salario, ingres ...",2018-12-11 14:30:22
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," Con experiencia en fotocopias.",2018-12-11 14:30:22
"ADMINISTRATIVO CONTABLE","","Asistente","Finanzas - Contabilidad - Auditoria","Hace 2 semanas "," y atención al cliente, estudiante y/o egresado de UTU, EDA o CCEE Experiencia 2 años Ingreso inmediato Al postularse adjuntar foto.",2018-12-11 14:30:22
"AUXILIAR CONTABLE ADMINISTRATIVA","LVAC","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas ","Auxiliar Contable Administrativa para Consultora Excluyente experiencia en Estudios Contables o Consultoras. Experiencia en registraciones contables, aten ...",2018-12-11 14:30:22
"CAJERAS","","Auxiliar","Ventas - Comercial","Hace 2 semanas "," Para super, excelente presencia, buen sueldo.",2018-12-11 14:30:22
"EDUCADOR","","Técnico / Especialista","Educación - Recreación - Deportes","Hace 2 semanas "," Tallerista en artes plasticas  para club de  niños turno vespertino",2018-12-11 14:30:22
"TRABAJADOR SOCIAL","","Asistente","Trabajo Social – Pasantías","Hace 2 semanas "," Para club de niños turno vespertino",2018-12-11 14:30:22
"CHOFER PARA TAXI","","Peon","Servicios - Oficios","Hace 2 semanas "," Ambos sexos Dueño selecciona Buen ambiente laboral Capacitación",2018-12-11 14:30:22
"FIAMBRERA/O","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Con conocimiento de caja, experiencia en el ramo",2018-12-11 14:30:22
"AYUDANTE DE COCINA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Para Restaurante en Las Piedras, que viva en la zona.",2018-12-11 14:30:22
"BOLETERO","","Auxiliar","Servicios - Oficios","Hace 2 semanas "," BOLTERO",2018-12-11 14:30:22
"MECANICO AUTOMOTRIZ","","Auxiliar","Servicios - Oficios","Hace 2 semanas ","  oficial y medio oficial.",2018-12-11 14:30:22
"CHOFER PARA TAXI","","Peon","Servicios - Oficios","Hace 2 semanas "," Preferentemente femenino para Montenvideo. Libreta profesional vigente.",2018-12-11 14:30:22
"JARDINERO","","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas "," O ayudante se valora experiencia y referencias.  ",2018-12-11 14:30:22
"AYUDANTE DE CONFITERIA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," con experiencia.",2018-12-11 14:30:22
"CADETE","","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas "," CADETE con moto para Pizzería, zona Malvin. Buen sueldo y excelente propina, horario nocturno",2018-12-11 14:30:22
"AUXILIAR ADMINISTRATIVO MASCULINO","","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Requisitos: 18 a 45 años 1 año de experiencia Comercio Mayorista solicita: Auxiliar Administrativo masculino    ",2018-12-11 14:30:22
"OFICIAL PINTOR AUTOMOTRIZ","","Oficial","Producción","Hace 2 semanas "," Excluyente con experiencia en pintura de autos.",2018-12-11 14:30:22
"CAJERA PARA SUPER","","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas "," En barrio Bella Italia Preferentemente con curso aprobado de INEFOP Horario de 15:00 a 23:00 horas Al postularse adjuntar fotocopia de CI",2018-12-11 14:30:22
"LIMPIADORA","","Auxiliar","Servicios - Oficios","Hace 2 semanas "," Para Super  Zona Piedras Blancas Horario de 15:00 a 23:00 horas Al postularse adjuntar fotocopia de CI",2018-12-11 14:30:22
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," CHOFER de UBER",2018-12-11 14:30:22
"ANALISTA PARA ASISTENCIA FUNCIONAL SOFTWARE","","Analista","Tecnologías de la información","Hace 2 semanas ","Soporte Funcional Software - Productos AyP soft Consultoria de Aplicaciones y Procesos Capacitación a Clientes Configuracion de Nuevos Proyectos Documentac ...",2018-12-11 14:30:22
"VENDEDOR INDEPENDIENTE","Susana Scherz","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Trabajar de forma independiente con su cartera de clientes y con cartera que se le suministrará.  Horario a convenir Cumplir con los objetivos de ventas me ...",2018-12-11 14:30:22
