"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"PELUQUERA COLORISTA Y EXPERTO PEINADOR","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","Colorista, cortador y experto peinador con 2 años de experiencia mínimo Actitud proactiba y responsable, vocación de servicio, sentir pasión por la profesi ...","https://trabajo.gallito.com.uy/anuncio/colorista-y-experto-peinador-9jhqn","montevideo",2019-11-10 20:09:42
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Taxi 141","https://trabajo.gallito.com.uy/anuncio/chofer-y5j44","montevideo",2019-11-10 20:09:42
"SUPERVISOR","","Supervisor / Encargado","Teleoperadores - Call Center","Hace 3 semanas "," Supervisor de call center solo con experiencia , proactivo y entusiasta sueldo fijo  + comisiones  y premios","https://trabajo.gallito.com.uy/anuncio/supervisor-abqt9","montevideo",2019-11-10 20:09:42
"VENDEDOR CALL CENTER","","Auxiliar","Teleoperadores - Call Center","Hace 3 semanas ","  4 horas  $ 12.500, fijos +comisiones + premios. 

excelente ambiente, capacitación permanente .","https://trabajo.gallito.com.uy/anuncio/vendedor-call-center-ppb5p","montevideo",2019-11-10 20:09:42
"AUXILIAR DE DEPÓSITO","Importante empresa","Auxiliar","Logística - Distribución","Hace 3 semanas ","Importante empresa del rubro farmacéutico selecciona: Auxiliares De Depósito.

Tareas:
-Control de mercadería y facturas
-Picking y armado de pedidos
-Orde ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-de-deposito-r9pva","montevideo",2019-11-10 20:09:42
"TECNICO EN AIRE ACONDICIONADO","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","Instalación y mantenimiento. TECNICO en Aire Acondicionado  c/experiencia en equipos centrales y enfriadores de agua. 

Para tareas de mantenimiento e inst ...","https://trabajo.gallito.com.uy/anuncio/tecnico-en-aire-acondicionado-bn5z5","montevideo",2019-11-10 20:09:42
"INGENIERO INDUSTRIAL MECÁNICO","Importante empresa","Profesional","Producción","Hace 3 semanas ","Participación en Instalaciones de Equipos de Aire Acondicionado Control de las Instalaciones de Equipos Centrales de Aire Acondicionado.","https://trabajo.gallito.com.uy/anuncio/ingeniero-industrial-mecanico-hj3qj","montevideo",2019-11-10 20:09:42
"ELECTROMECANICO","","Técnico / Especialista","Producción","Hace 3 semanas ","Horario de lunes a viernes de 7.30 a 16.30 horas. (luego del mismo se consideran extras) 
Edad de 35 a 45 años. 
Sueldo $ 27500 + Beneficios. 
Se valorara  ...","https://trabajo.gallito.com.uy/anuncio/electromecanico-7zr32","montevideo",2019-11-10 20:09:42
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," COCINERO/A con experiencia para Restaurante y catering, imprescindible actitud de trabajo y compañerismo y referencias","https://trabajo.gallito.com.uy/anuncio/cocinero-2a485","montevideo",2019-11-10 20:09:42
"CHOFER PARA TAXI","TAXIMETRO  FERNANDO NASSO","Peon","Servicios - Oficios","Hace 3 semanas ","LIBRETA CATEGORIA E ( NO SIRVE OTRA )
CONOCIMIENTO DE CALLES
HIGIENE
BUENOS MODALES PARA TRATAR CON PUBLICO
DISPONIBILIDAD SIN EXEPCIONES TRANSPORTE DE PAS ...","https://trabajo.gallito.com.uy/anuncio/chofer-para-taxi-e8ttg","montevideo",2019-11-10 20:09:42
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," De mostrador para Panaderia

Con experiencia","https://trabajo.gallito.com.uy/anuncio/vendedor-a-rg4rj","montevideo",2019-11-10 20:09:42
"PELUQUERA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," sepa manos y depilación

Con experiencia

Zona Tres Cruces.","https://trabajo.gallito.com.uy/anuncio/peluquera-m5geb","montevideo",2019-11-10 20:09:42
"MOZA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," MOZA buena presencia entre 20 y 35 años, part time viernes, sabado y domingo de 17 hs al cierre zona Pocitos","https://trabajo.gallito.com.uy/anuncio/moza-ddq76","montevideo",2019-11-10 20:09:42
"ANALISTA EN SOPORTE DE SISTEMAS","ADVICE","Analista","Tecnologías de la información","Hace 3 semanas ","Seleccionamos para importante empresa de compra y distribución de productos.

Candidatos con formación vinculada a carreras de Tecnologías de la Informació ...","https://trabajo.gallito.com.uy/anuncio/analista-en-soporte-de-sistemas-zdapa","montevideo",2019-11-10 20:09:42
"ORTODONCISTA","","Profesional","Salud","Hace 3 semanas "," Con disponibilidad horaria","https://trabajo.gallito.com.uy/anuncio/ortodoncista-zvj8z","montevideo",2019-11-10 20:09:42
"VENDEDOR CON LIBRETA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Libreta categoria C excluyente, para importante empresa de alimentos.","https://trabajo.gallito.com.uy/anuncio/vendedor-con-libreta-enm88","montevideo",2019-11-10 20:09:42
"VENDEDORA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," VENDEDORA independiente para ropa Romance 30% de ganancia de las ventas.","https://trabajo.gallito.com.uy/anuncio/vendedora-s78b8","montevideo",2019-11-10 20:09:42
