"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"TÉCNICO  DE CAMPO","NETTRA ","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","Tareas: •	Realizar la instalación, puesta en marcha de los proyectos, y su posterior mantenimiento operativo. •	Mantener una comunicación fluida con los cl ...",2018-11-24 01:28:53
"JEFE DE FLOTA","ADVICE","Supervisor / Encargado","Producción","Hace 1 mes ","Supervisar y administrar la operativa en relación a la flota, recursos materiales, y recursos humanos vinculados al sector.  Dirigir y planificar los servi ...",2018-11-24 01:28:53
"BACHERO/LIMPIEZA","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Limpieza y órden de los útiles de cocina, será responsable de mantener la limpieza del local (baños, cocina, bacha, etc). Estará bajo el mando del jefe de  ...",2018-11-24 01:28:53
"TOP SYSTEMS: ARQUITECTO DE SOFTWARE (ORIENTADO A SERVICIOS)","ADVICE","Analista","Tecnologías de la información","Hace 1 mes ","Desde 1987 generamos soluciones tecnológicas innovadoras, que se constituyen en partes fundamentales del funcionamiento de cada uno de nuestros clientes.  ...",2018-11-24 01:28:53
"OFICIAL CHAPISTA AUTOMOTRIZ","darma car","Oficial","Servicios - Oficios","Hace 1 mes ","Estamos en la búsqueda de un Oficial chapista para taller de chapa y pintura automotriz. Con experiencia mínima 1 año (excluyente)   Chapa automotriz ",2018-11-24 01:28:53
"ESTUDIANTES DE CONTADOR PÚBLICO PARA INCORPORARSE AL DEPARTAMENTO IMPOSITIVO","","Asistente","Administración - Secretariado","Hace 1 mes ","AUREN Capital Humano selecciona Estudiantes de Contador Público para incorporarse al departamento Impositivo de la firma.  Orientamos la busqueda a Estudi ...",2018-11-24 01:28:53
"ASISTENTE DE EVENTOS","Importante empresa","Asistente","Administración - Secretariado","Hace 1 mes ","Buscamos Personas con formación en Marketing y/o Comunicación que cuenten con experiencia en posiciones de similar responsabilidad. Competencias claves: c ...",2018-11-24 01:28:53
"JEFE COMERCIAL Y DE MARKETING","Importante empresa","Jefe","Marketing - Publicidad","Hace 1 mes ","Buscamos: Personas con marcado perfil comercial y formación en Marketing, Comunicación, Ventas, o similar. Será excluyente contar con experiencia previa e ...",2018-11-24 01:28:53
"AUXILIAR CONTABLE","Importador","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Ingreso de Cajas , control de deudores , ingreso de comprobantes en contabilidad, conciliaciones Reporta directamente con el Contador .",2018-11-24 01:28:53
"PARTICIPANTE","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Ingresar a www.smilefactorygroup.com leer las bases del concurso, registrarse y concursar. O hacerlo por instagram smilefactorygroup Importante completar e ...",2018-11-24 01:28:53
"PARTICIPANTE","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Participación en planes de corta duración y ganar dinero sin compromiso más que consigo mismo. Cumplir un plan de trabajo y generar dinero por tu esfuerzo. ...",2018-11-24 01:28:53
"AUXILIAR DE LIMPIEZA","CLEANING SERVICE","Auxiliar","Servicios - Oficios","Hace 1 mes ","Se solicita auxiliares de limpieza para edificios y empresas  principalmente  Barrido, lavado de pisos, limpieza de escritorios, baños , vidrios (internos) ...",2018-11-24 01:28:53
"ENCARGADO DE ADMINISTRACIÓN Y VENTAS","JORGE SANTANA","Auxiliar","Administración - Secretariado","Hace 1 mes ","Control de: -  facturación - pagos - presupuestos - procesos internos La persona debe ser: - Pro-activa - experiente - versátil - dinámica",2018-11-24 01:28:53
"TÉCNICO VERTICAL","Abismo Construcciones","Medio Oficial","Construcción - Arquitectura","Hace 1 mes ","Reparaciones en general,  pintura, hidrolavados Cumplimiento de horario y tareas designadas",2018-11-24 01:28:53
"PRODUCCIÓN - ELABORACIÓN","Importante empresa","Peon","Producción","Hace 1 mes ","Elaboración y mantenimiento de insumos para alimentación. Media",2018-11-24 01:28:53
"TORNERO","Importante empresa","Técnico / Especialista","Producción","Hace 1 mes ","Procesos Mecanizados, Reparación de piezas de camión, balanceo de cardanes. Tareas relativas al cargo. Búsqueda orientada a Torneros con estudios y experie ...",2018-11-24 01:28:53
"GESTOR ","Importante empresa","Asistente","Administración - Secretariado","Hace 1 mes ","Tendrá bajo su responsabilidad todo tipo de gestiones en entes públicos y privados así como el control del vencimiento de habilitaciones, certificados y do ...",2018-11-24 01:28:53
"TESORERO","Importante empresa","Supervisor / Encargado","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","El objetivo principal del puesto es la gestión operativa de la tesorería, teniendo a su cargo las siguientes tareas: Manejo de flujo de fondos, efectuar l ...",2018-11-24 01:28:53
"EJECUTIVO DE VENTAS PARA PRODUCTOS DE CONSUMO","Importante importadora y distribuidora","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se busca persona con dedicación full time de lunes a viernes que reporta directamente al Director. Su función es la venta de productos de consumo menage, o ...",2018-11-24 01:28:53
"EMPRESAS DISTRIBUIDORAS MONTEVIDEO E INTERIOR","MOLINO GUIDO","Auxiliar","Logística - Distribución","Hace 1 mes ","Distribución de nueva línea de productos Sin Gluten Distribución de nueva línea de productos Sin Gluten",2018-11-24 01:28:53
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta de Almanaques y Regalos Empresariales Vendedores/as para Montevideo e Interior",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Se necesitan vendedores Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpo ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpore otro rubro a s ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Incorpore otro rubro a su ...",2018-11-24 01:28:53
"PROFESOR/A DE CHINO","C&B INSTITUTE","Profesional","Educación - Recreación - Deportes","Hace 1 mes ","Clases individuales y/o grupales de chino mandarin Dictar clases de chino mandarin",2018-11-24 01:28:53
"VENDEDOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Melo, Treinta y Tres ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Durazno,Florida, San ...",2018-11-24 01:28:53
"VENDEDOR/A","Importante Fabrica","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Artigas, Rivera, Ta ...",2018-11-24 01:28:53
"VENDEDOR/A","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta Venta de Almanaques y Regalos Empresariales Excelente comision Sin inversión gane $$ Extra Part o Full Time - No Exclusivos Para Young, Fray Bentos,  ...",2018-11-24 01:28:53
"AUX. ADMINISTRATIVO","Inmobiliaria - Pocitos","Auxiliar","Administración - Secretariado","Hace 1 mes ","Liquidación de gastos comunes, atención a clientes y proveedores.  Liquidación de gastos comunes, atención a clientes y proveedores. ",2018-11-24 01:28:53
"PIZZERO, ELABORADOR.","Bon Appetit","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Se necesita pizzero, con experiencia (excluyente) Referencias comprobables. El aspirante debera elaborar la pizza, por metro y pizzetas. Elaboracion de fai ...",2018-11-24 01:28:53
"OFICIAL Y MEDIO OFICIAL","Importante empresa","Oficial","Producción","Hace 1 mes ","Oficial y medio oficial para carpinteria en Maldonado.  Carpintero de taller.",2018-11-24 01:28:53
"PERSONAL FEMENINO TAREAS VARIAS. TURNO NOCHE","Importante empresa rubro gastronomico","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Funciones:  <U+F0FC>	Realizar el armado de las ordenes de pedidos.   <U+F0FC>	Entrega de los pedidos a los clientes. <U+F0FC>	Colaboración en el sector de la cocina.  <U+F0FC>	Limpiez ...",2018-11-24 01:28:53
"INGENIERO INDUSTRIAL MECÁNICO","ADVICE","Profesional","Producción","Hace 1 mes ","Seleccionamos para importante industria ubicada en Rivera. Buscamos: Profesionales universitarios de Ingeniería Mecánica. Buen dominio del idioma inglés.  ...",2018-11-24 01:28:53
"VENTAS","RALINOS SA","Auxiliar","Ventas - Comercial","Hace 1 mes ","Ventas, cotizar, facturar, entrega de coches, trasladar coches, chequeo de autos, todo lo que se realiza en una alquiladora de autos. Ventas, cotizar, fact ...",2018-11-24 01:28:53
"SECRETARIA PARA LICEO FRANCÉS","KPMG","Asistente","Administración - Secretariado","Hace 1 mes ","Conocimientos técnicos •	Bachillerato completo  •	Manejo de idioma Francés a nivel avanzado  •	Manejo de herramientas MS Office Competencias personales •	 ...",2018-11-24 01:28:53
"VIGILANTE","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Personal masculino , zona montevideo,  experiencia en el rubro, entre 25 y 50 años, buena presencia, actitud y ganas de trabajar. Se valorará cursos de gua ...",2018-11-24 01:28:53
"CAPATAZ","consult","Supervisor / Encargado","Construcción - Arquitectura","Hace 1 mes ","trabajos en obra puntuales responsable de tareas asignadas con personal a cargo",2018-11-24 01:28:53
"OFICIAL CARPINTERO","Marmoleria Marindia","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Corte y Armado de muebles Oficial carpintero con referencias comprobables, para carpintería en Marindia",2018-11-24 01:28:53
"CALL CENTER","STUDENTEN SRL","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedor Operador call center",2018-11-24 01:28:53
"ENCUESTADOR EN VÍA PUBLICA","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 1 mes ","Encuestador en vía publica. Encuestador",2018-11-24 01:28:53
"ENCUESTADOR EN VÍA PUBLICA","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 1 mes ","Encuestador en vía publica para Las Piedras. Encuestador.",2018-11-24 01:28:53
"DEPILADORA  MANICURA","Centro de Depilación - Método Español","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Buscamos Depiladoras (método español), manicura y pedicura para trabajar de forma fija en horario vespertino y matutino de Martes a Sábados. Se requiere e ...",2018-11-24 01:28:53
"CADETE","BIGCITY SA","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Cadete con moto para carrasco , malvin, pocitos y punta carretas para los fines de semana  Responsable y puntual",2018-11-24 01:28:53
"DIRECCIÓN DE INSTITUCIÓN DE DISCAPACITADOS INTELECTUALES","Asociacion Amaneceres","Jefe","Educación - Recreación - Deportes","Hace 1 mes ","Dirección general del Instituto Inherentes al cargo",2018-11-24 01:28:53
"SERVICIO DOMÉSTICO","Casa de familia","Auxiliar","Servicios - Oficios","Hace 1 mes ","Se necesita servicio doméstico para casa de familia en centro de Montevideo. Horario matutino, pago por hora.  Se necesita servicio doméstico para casa de  ...",2018-11-24 01:28:53
"MAQUINISTA","Fabrica de molduras","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Carpintero maquinista, con experiencia. Molduras y otros. Deberá cumplir con el horario de trabajo y trabajos correspondientes a la utilización de maquinas ...",2018-11-24 01:28:53
"VENDEDORA DE CATERING Y EVENTOS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Empresa gastronómica,se encuentra en la búsqueda de personal para su área de Ventas en Catering. Sexo:Femenino Edad: 24 a 40 años.(Excluyente) Horario:10:0 ...",2018-11-24 01:28:53
"TESTER DE SOFTWARE","GEOCOM URUGUAY","Analista","Tecnologías de la información","Hace 1 mes ","Nos encontramos en la búsqueda de Testers de Software. Qué buscamos? Buscamos Testers que cuenten con experiencia de al menos de 2 años (EXCLUYENTE), par ...",2018-11-24 01:28:53
"ENCARGADO/A DE TIENDA-MONTEVIDEO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de Local comercial.  Competencias requeridas:  Liderazgo y excelente orientación al equipo de trabajo.  Planificación y organización.  Pr ...",2018-11-24 01:28:53
"SECRETARIO/A","KPMG","Asistente","Administración - Secretariado","Hace 1 mes ","Conocimientos técnicos •	Bachillerato completo •	Formación en Secretariado •	Dominio de redes sociales •	Dominio de herramientas MS Office •	Manejo de ingl ...",2018-11-24 01:28:53
"FACTURADOR","Importante empresa","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Estará a cargo de la facturación electrónica de Servicios de la empresa (crédito y contado). Será responsable de toda la documentación relativa al sector r ...",2018-11-24 01:28:53
"ADMINISTRATIVO CONTABLE","Eat Me Now","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Control de ingreso y egreso de mercadería y otra tareas contables referentes a los mismo.  Control de ingreso y egreso de mercadería y otra tareas contable ...",2018-11-24 01:28:53
"OFICIAL Y MEDIO OFICIAL","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Oficial y medio oficial para carpintería de muebles Cortado y armado de muebles",2018-11-24 01:28:53
"ADMISNITRATIVO PARA EMPRESA RUBRO SALUD","KPMG","Auxiliar","Administración - Secretariado","Hace 1 mes ","Conocimientos técnicos •	Bachillerato completo  •	Manejo avanzado de herramientas MS Office •	Conocimiento de sistemas de gestión de compras (valorado) •	E ...",2018-11-24 01:28:53
"TECNICO INSTALADOR DE ALARMA","centro de monitoreo","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","TÉCNICO INSTALADOR DE ALARMAS TÉCNICO INSTALADOR DE ALARMAS",2018-11-24 01:28:53
"MOZA","RESTAURANTE EN L CENTRO","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","SE NECESITA MOZA PARA RESTAURANTE EN EL CENTRO. PRESENTARSE CON CURRICULUM DE LUNES A VIERNES DE 9 A 11. EN SAN JOSE 1229 SOLO CON EXPERIENCIA",2018-11-24 01:28:53
"SECRETARIA DIRECCIÓN DE PRIMARIA Y SECRETARIA DIRECCIÓN GENERAL - LICEO FRANCÉS","KPMG","Asistente","Administración - Secretariado","Hace 1 mes ","Conocimientos técnicos •	Bachillerato completo  •	Manejo de idioma Francés a nivel avanzado  •	Manejo de herramientas MS Office Competencias personales •	 ...",2018-11-24 01:28:53
"EJECUTORES","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Personas proactivas, dinámicas, con buena presencia y dicción, con o sin ocupación, dispuestos a alcanzar su máximo rendimiento para percibir ingresos econ ...",2018-11-24 01:28:53
"VENDEDORA Y DEPILADORA  PARA CENTRO DE ESTÉTICA","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Precisamos una chica con conocimiento de: *Estetica *Trato con clientes * Buena presencia  *conocimiento de herramientas informáticas Trabajo los fines de  ...",2018-11-24 01:28:53
"DOCENTE DE SECUNDARIA, UTU Y FACULTAD DE DERECHO Y CIENCIAS ECONÓMICAS","Importante empresa","Profesional","Educación - Recreación - Deportes","Hace 1 mes ","Buscamos estudiantes avanzados con excelente escolaridad y profesionales con experiencia docente. Preparar las clases, dedicar la atención necesaria a los  ...",2018-11-24 01:28:53
"SINGERISTA, MUESTRISTA","Textil stella","Oficial","Producción","Hace 1 mes ","singerista, muestrista Buscamos a una persona dinámica con ganas de trabajar en un lindo equipo de mujeres emprendedoras. Se valorara experiencia en tejido ...",2018-11-24 01:28:53
"VENDEDOR MOSTRADOR Y TELEFÓNICO","","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Atención al cliente. Ventas telefónicas y en mostrador. Mantener actualizado mercado libre y la página web. Atención a clientes de distribución. Ingreso de ...",2018-11-24 01:28:53
"EMPLEADA PARA RESIDENCIAL VARIOS TURNOS","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Empleada para residencial 3ra edad. Con experiencia y carne salud vigente. para turno 14 a 22. sueldo a mes completo 20.880 en mano. presentar CV con foto  ...",2018-11-24 01:28:53
"CADETE PARA DEPOSITO Y TRAMITES","","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","tareas de deposito, limpieza, tramites en el centro tareas de deposito, limpieza, tramites en el centro",2018-11-24 01:28:53
"ADMINISTRATIVA/O","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","trabajo administrativo Cobrar, ingreso de planillas en pc, manejo de sistema administrativo por la empresa",2018-11-24 01:28:53
"OPERARIA FEMENINA","cytrux s.a.","Peon","Producción","Hace 1 mes ","LAVADERO INDUSTRIAL NECESITA OPERARIA  FEMENINA, PRESENTAR CURRICULUM EN GRAL PALLEJAS 2456 DE 8 A 14 HS OPERARIA FEMENINA",2018-11-24 01:28:53
"ASISTENTE PARA EL DEPARTAMENTO DE LABORALES","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Administrativo con amplia experiencia en Relaciones Laborales. El cargo tiene bajo su responsabilidad la liquidación de sueldos de varias empresas, elabora ...",2018-11-24 01:28:53
"CAJERO AUTOSERVICIO - NOCHE","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajero para la noche. Deposito, reposición, orden y limpieza del local. Caja.",2018-11-24 01:28:53
"CAJERA(O) PARA CAFETERÍA","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Empresa gastronómica se encuentra en la selección de personal de CAJERO/A TURNANTE, para sus cafeterías ubicadas en las zonas de Punta Carretas,Buceo y Poc ...",2018-11-24 01:28:53
"COORDINADOR DE SERVICIO EN ATENCIÓN AL CLIENTE Y VENTAS","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Tareas principales: Verificar y controlar el mantenimiento en la atención al cliente Realizar la permanente capacitación del personal en cada local Control ...",2018-11-24 01:28:53
"CADETE CON LIBRETA MOTO","","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Lunes a Viernes de 9 a 18hs,  Requisitos: Libreta de Moto al dia Experiencia en reparto, ventas y/o cobranzas Buena presencia Responsable, Dinámico y Orde ...",2018-11-24 01:28:53
