"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Ingeniero Agrimensor - Administración Nacional De Educación Pública","www.buscojobs.com.uy/ingeniero-agrimensor-administracion-nacional-de-educacion-publica-ID-164047",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Técnico Habilitado Por La Dnb","www.buscojobs.com.uy/tecnico-habilitado-por-la-dnb-ID-164048",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Apoyo A La Gestión En La Dirección Isef","www.buscojobs.com.uy/apoyo-a-la-gestion-en-la-direccion-isef-ID-164006",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Deporte Y Enseñanza, Gº2","www.buscojobs.com.uy/nucleo-deporte-y-ensenanza-g2-ID-164008",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Deporte Y Enseñanza, Gº2","www.buscojobs.com.uy/nucleo-deporte-y-ensenanza-g2-ID-164010",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Deporte Y Enseñanza , Gº 2","www.buscojobs.com.uy/nucleo-deporte-y-ensenanza-g-2-ID-164011",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Prof Adjunto Neurociencias","www.buscojobs.com.uy/prof-adjunto-neurociencias-ID-164012",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Geografía","www.buscojobs.com.uy/asistente-geografia-ID-164013",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Deporte Y Enseñanza, Gº2","www.buscojobs.com.uy/nucleo-deporte-y-ensenanza-g2-ID-164014",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Técncorporales Y Práctartísticas, Gtº2","www.buscojobs.com.uy/tecncorporales-y-practartisticas-gt2-ID-164015",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Técncorporales Y Práctartísticas, Gº1","www.buscojobs.com.uy/tecncorporales-y-practartisticas-g1-ID-164016",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Gimnasia, Gº1","www.buscojobs.com.uy/nucleo-gimnasia-g1-ID-164017",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Ef, Cultura Y Sociedad, Gº2","www.buscojobs.com.uy/nucleo-ef-cultura-y-sociedad-g2-ID-164018",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Ef, Cultura Y Sociedad, Gº1","www.buscojobs.com.uy/nucleo-ef-cultura-y-sociedad-g1-ID-164019",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Educ, Recreacy Naturaleza, Gº2","www.buscojobs.com.uy/nucleo-educ-recreacy-naturaleza-g2-ID-164020",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Núcleo Juego Y Lúdica, Gº1","www.buscojobs.com.uy/nucleo-juego-y-ludica-g1-ID-164021",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Centro Matemática","www.buscojobs.com.uy/asistente-centro-matematica-ID-163973",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante Matemática","www.buscojobs.com.uy/ayudante-matematica-ID-163974",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante Física","www.buscojobs.com.uy/ayudante-fisica-ID-163963",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante Proyecto Cse","www.buscojobs.com.uy/ayudante-proyecto-cse-ID-163964",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Biología Celelar","www.buscojobs.com.uy/asistente-biologia-celelar-ID-163965",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Biología Celular","www.buscojobs.com.uy/asistente-biologia-celular-ID-163966",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gº2 Ic Curso Acondicionamiento Natural","www.buscojobs.com.uy/g2-ic-curso-acondicionamiento-natural-ID-163923",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ayudante Pot Iº Social","www.buscojobs.com.uy/ayudante-pot-i-social-ID-163924",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Asistente Iº Educación","www.buscojobs.com.uy/asistente-i-educacion-ID-163925",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Coordinador Uae -Cure - Universidad De La República - Centro Universitario Regional Del Este","www.buscojobs.com.uy/coordinador-uae-cure-universidad-de-la-republica-centro-universitario-regional-del-este-ID-163899",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Profesor Titular (Gº5) - Universidad De La República - Centro Universitario Regional Del Este","www.buscojobs.com.uy/profesor-titular-g5-universidad-de-la-republica-centro-universitario-regional-del-este-ID-163900",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gº1 Eucd Área Tecn Textil-Indumentaria","www.buscojobs.com.uy/g1-eucd-area-tecn-textil-indumentaria-ID-163901",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Interino Gº1-Dtyt De Info-Archivología","www.buscojobs.com.uy/interino-g1-dtyt-de-info-archivologia-ID-163903",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ingeniero Hidráulico","www.buscojobs.com.uy/ingeniero-hidraulico-ID-163904",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Interino - Gº1 -Unidad De Comunicación","www.buscojobs.com.uy/interino-g1-unidad-de-comunicacion-ID-163871",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 1 Anatomía Patológica","www.buscojobs.com.uy/gr-1-anatomia-patologica-ID-163844",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 1 Cirugía Bmf Ii","www.buscojobs.com.uy/gr-1-cirugia-bmf-ii-ID-163845",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 2 Cátedra De Radiología Y Fisioterap","www.buscojobs.com.uy/gr-2-catedra-de-radiologia-y-fisioterap-ID-163807",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 4 Dpto Odontología Hosp De Clínicas","www.buscojobs.com.uy/gr-4-dpto-odontologia-hosp-de-clinicas-ID-163797",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Docente - Adjunto Grado 3","www.buscojobs.com.uy/docente-adjunto-grado-3-ID-163765",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Beca Laboratorio Central De Prótesis","www.buscojobs.com.uy/beca-laboratorio-central-de-protesis-ID-163717",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"90/18 Prof Adj Historia Y Filosofía De","www.buscojobs.com.uy/9018-prof-adj-historia-y-filosofia-de-ID-163718",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 2 Cátedra De Cirugía Bmf Ii","www.buscojobs.com.uy/gr-2-catedra-de-cirugia-bmf-ii-ID-163638",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 3 Cátedra De Endodoncia","www.buscojobs.com.uy/gr-3-catedra-de-endodoncia-ID-163639",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 2 Cátedra De Operatoria Dental","www.buscojobs.com.uy/gr-2-catedra-de-operatoria-dental-ID-163646",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Ay Fisiología Y Genética Bacteriana","www.buscojobs.com.uy/ay-fisiologia-y-genetica-bacteriana-ID-163648",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 2 Carrera De Higienista","www.buscojobs.com.uy/gr-2-carrera-de-higienista-ID-163649",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr1 Carrera De Laboratorista-Prót Fija","www.buscojobs.com.uy/gr1-carrera-de-laboratorista-prot-fija-ID-163656",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-25,"martes"
"Gr 3 Cátedra De Paradentología","www.buscojobs.com.uy/gr-3-catedra-de-paradentologia-ID-163579",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 2 Cátedra De Anatomía Patológica","www.buscojobs.com.uy/gr-2-catedra-de-anatomia-patologica-ID-163580",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 4 Dpto De Odontología-Hosp Clinicas","www.buscojobs.com.uy/gr-4-dpto-de-odontologia-hosp-clinicas-ID-163581",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"G°3, 18 Hs Dpto Ccss Cenur Ln","www.buscojobs.com.uy/g3-18-hs-dpto-ccss-cenur-ln-ID-163588",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente Gº 2 30Hrs - Area Enseñanza","www.buscojobs.com.uy/asistente-g-2-30hrs-area-ensenanza-ID-163520",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 3 Servicio De Prótesis Bmf","www.buscojobs.com.uy/gr-3-servicio-de-protesis-bmf-ID-163521",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 3 Ortopedia Dmf","www.buscojobs.com.uy/gr-3-ortopedia-dmf-ID-163523",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº 2, 30 Hrs - Area Extensión","www.buscojobs.com.uy/asistente-g-2-30-hrs-area-extension-ID-163524",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 2 Odontopediatría","www.buscojobs.com.uy/gr-2-odontopediatria-ID-163533",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 2 Ortopedia Dmf","www.buscojobs.com.uy/gr-2-ortopedia-dmf-ID-163534",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Ayudante Oem","www.buscojobs.com.uy/ayudante-oem-ID-163549",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163262",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163263",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Practcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163264",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163265",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163266",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptopráctcorporales","www.buscojobs.com.uy/asistente-g2-dptopractcorporales-ID-163267",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto-Practcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163268",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcoporales","www.buscojobs.com.uy/asistente-g2-dpto-practcoporales-ID-163269",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163270",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Práctcorporales","www.buscojobs.com.uy/asistente-g2-dpto-practcorporales-ID-163271",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163272",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptopráctcorporales","www.buscojobs.com.uy/asistente-g2-dptopractcorporales-ID-163273",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163274",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163275",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163276",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gº3 Ic Laboratorio De Ensayos","www.buscojobs.com.uy/g3-ic-laboratorio-de-ensayos-ID-163281",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Colaborador Honorario Sala De Redacción","www.buscojobs.com.uy/colaborador-honorario-sala-de-redaccion-ID-163283",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Deporte","www.buscojobs.com.uy/asistente-g2-dpto-deporte-ID-163284",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163285",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163286",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163287",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptode Deporte","www.buscojobs.com.uy/asistente-g2-dptode-deporte-ID-163288",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163289",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163290",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163291",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163292",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto De Deporte","www.buscojobs.com.uy/asistente-g2-dpto-de-deporte-ID-163293",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Prác Corporales","www.buscojobs.com.uy/asistente-g2-dpto-prac-corporales-ID-163294",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptosalud","www.buscojobs.com.uy/asistente-g2-dptosalud-ID-163295",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163296",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163297",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163298",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163299",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Tiempo Libre","www.buscojobs.com.uy/asistente-g2-tiempo-libre-ID-163300",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Salud","www.buscojobs.com.uy/asistente-g2-dpto-salud-ID-163301",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Tiempo Libre","www.buscojobs.com.uy/asistente-g2-dpto-tiempo-libre-ID-163302",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Tiempo Libre","www.buscojobs.com.uy/asistente-g2-dpto-tiempo-libre-ID-163303",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptotiempo Libre","www.buscojobs.com.uy/asistente-g2-dptotiempo-libre-ID-163304",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dptotiempo Libre","www.buscojobs.com.uy/asistente-g2-dptotiempo-libre-ID-163305",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Tiempo Libre","www.buscojobs.com.uy/asistente-g2-dpto-tiempo-libre-ID-163306",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Tiempo Libre","www.buscojobs.com.uy/asistente-g2-dpto-tiempo-libre-ID-163307",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente, Gº2, Dpto Tiempo Libre","www.buscojobs.com.uy/asistente-g2-dpto-tiempo-libre-ID-163308",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Prof Agdo Para El Dpto Nut Clínica","www.buscojobs.com.uy/prof-agdo-para-el-dpto-nut-clinica-ID-163200",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-163079",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Provisión Efectiva","www.buscojobs.com.uy/provision-efectiva-ID-163082",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Asistente Dpto Alimentos","www.buscojobs.com.uy/asistente-dpto-alimentos-ID-163043",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Doc En Fm Teóricos Y Metodológicos Ts","www.buscojobs.com.uy/doc-en-fm-teoricos-y-metodologicos-ts-ID-162938",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-25,"domingo"
"Gr 5 Cátedra De Operatoria Dental Ii","www.buscojobs.com.uy/gr-5-catedra-de-operatoria-dental-ii-ID-161670",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-26,"miércoles"
